nodeId,label,name,category,difficulty,cuisineType,prepTime,cookTime,servings,tips,filePath,description,stepNumber,methods,tools,timeEstimate
d3918f0ed2c70b81,CookingStep,桂圆红枣粥-步骤2,,,,,,,,,红枣用清水洗两次，放入碗中浸泡10分钟,2,清洗，浸泡,碗,10分钟
25a712510825033a,CookingStep,桂圆红枣粥-步骤3,,,,,,,,,糯米放入电饭锅中，清水淘米两次后，加入2000ml水,3,淘洗,电饭锅,
15ef3cb76b796d74,CookingStep,桂圆红枣粥-步骤4,,,,,,,,,将桂圆和红枣加入电饭锅,4,,电饭锅,
c8b58157551fcfaf,CookingStep,桂圆红枣粥-步骤5,,,,,,,,,打开电饭锅煮饭模式，1小时后粥成,5,煮,电饭锅,1小时
8265fcbfc7a93654,Recipe,水煮玉米,早餐,简单,家常菜,,15-20分钟,,煮玉米时保留部分玉米皮入锅，可增加风味。 | 根据口味选择是否加糖。 | 玉米煮久点不影响口感。,Dish/breakfast/水煮玉米.md,,,,,
be61f8f91eefd266,Ingredient,玉米,,,,,,,,,,,,,
a3dd28934f2f9a12,Ingredient,水,,,,,,,,,,,,,
51731c093ee2c51a,Ingredient,糖,,,,,,,,,,,,,
bc91682a9d51ea19,CookingStep,水煮玉米-步骤1,,,,,,,,,将新鲜玉米剥去外皮，剩部分玉米皮入锅。,1,,锅,
5e77d365676eee5a,CookingStep,水煮玉米-步骤2,,,,,,,,,加入淹过玉米约半节指头的水，加盐和糖。,2,,,
2e85a4e16b12d76f,CookingStep,水煮玉米-步骤3,,,,,,,,,水煮开之后转至小火，加盖继续煮15-20分钟，玉米煮久点没事。,3,煮,锅,15-20分钟
13a2eaf822c9014c,CookingStep,水煮玉米-步骤4,,,,,,,,,煮熟后沥干水分，冷却后食用。,4,沥干,,
297ae1720f84e375,Recipe,煎饺,早餐,简单,家常菜,,,,操作时，需时刻观察锅内情况，切记不可分神玩手机。,Dish/breakfast/煎饺.md,,,,,
5e32ad2a17fce850,Ingredient,饺子,,,,,,,,,,,,,
4e0a6e46151b76e4,Ingredient,芝麻,,,,,,,,,,,,,
454f3c68a59eb078,Ingredient,葱花,,,,,,,,,,,,,
bcc99d7866dd03a8,CookingStep,煎饺-步骤1,,,,,,,,,取出平底锅（不沾平底锅最佳）。,1,,平底锅,
e783f02563c66dd1,CookingStep,煎饺-步骤2,,,,,,,,,加入 10ml - 15 ml 食用油。,2,,,
0043a319327e7a5a,CookingStep,煎饺-步骤3,,,,,,,,,开火，放入饺子（尽量平均铺开，不宜堆叠）。,3,,,
b486db460d802510,CookingStep,煎饺-步骤4,,,,,,,,,立刻加入清水，水线没过饺子平均高度的 1/2。,4,,,
f35947323303ec4a,CookingStep,煎饺-步骤5,,,,,,,,,盖上锅盖（此时炉灶应该处于大火）。,5,煮,锅盖,
0bfdd6307b40b1aa,CookingStep,煎饺-步骤6,,,,,,,,,等待 8 - 10 分钟。,6,煮,,8-10分钟
d9fded28ff80a551,CookingStep,煎饺-步骤7,,,,,,,,,当锅中水分仅剩 2mm 时， 转中火开始煎制。,7,煎,,
33ea27e844dbd906,CookingStep,煎饺-步骤8,,,,,,,,,当水分全部蒸发后，摇晃平底锅使饺子受热均匀。,8,煎,平底锅,
8ca84cc99f190e02,CookingStep,煎饺-步骤9,,,,,,,,,放入黑芝麻和葱花再焖 10s。,9,焖,,10秒
4ad8dfc15b0ebcbd,CookingStep,煎饺-步骤10,,,,,,,,,1 - 2 分钟夹出一个饺子观察底部，若出现金黄色脆皮立即取出。,10,煎,,1-2分钟
f301a5456ec4a718,Recipe,茶叶蛋,早餐,中等,家常菜,,30分钟,2-3人份,鸡蛋捞出过冷水是为了让鸡蛋和壳之间产生间隙。 | 食盐可根据个人口味选择不加。 | 八角，香叶，桂皮，茴香，冰糖，自己没有这么多食材可以买现成的卤料包。,Dish/breakfast/茶叶蛋.md,,,,,
7bda97ac3ec3677f,Ingredient,八角,,,,,,,,,,,,,
fb3fd3b8cfac4ea2,Ingredient,香叶,,,,,,,,,,,,,
9d5b54483543d7e4,Ingredient,桂皮,,,,,,,,,,,,,
d4ae7643918afac4,Ingredient,茴香,,,,,,,,,,,,,
f51cc7dee2ae247a,Ingredient,冰糖,,,,,,,,,,,,,
747766043e7f6f07,Ingredient,红茶,,,,,,,,,,,,,
8eacb18b6bdddbdf,Ingredient,生抽,,,,,,,,,,,,,
c58ebb601076aef8,Ingredient,老抽,,,,,,,,,,,,,
2b62b694f442f39c,Ingredient,食盐,,,,,,,,,,,,,
71cf367251833542,CookingStep,茶叶蛋-步骤1,,,,,,,,,用冷水将鸡蛋煮熟，大火大约8分钟（根据自家厨具决定）。,1,煮,锅,8分钟
6365c10770d4d65f,CookingStep,茶叶蛋-步骤2,,,,,,,,,鸡蛋捞出，过冷水。,2,过冷水,,
940981003c397680,CookingStep,茶叶蛋-步骤3,,,,,,,,,将鸡蛋互相碰撞，使每个鸡蛋产生裂缝。,3,,,
cf5695a9e3163000,CookingStep,茶叶蛋-步骤4,,,,,,,,,将鸡蛋下锅，放入八角，香叶，桂皮，茴香，冰糖，红茶，生抽，老抽，食盐。,4,,锅,
7a175b2154d85d6e,CookingStep,茶叶蛋-步骤5,,,,,,,,,加水直至没过鸡蛋。,5,,,
ca8d5f3a27f78d77,CookingStep,茶叶蛋-步骤6,,,,,,,,,大火煮开之后，转中小火煮15分钟。,6,煮,锅,15分钟
b47f0d2431a888a2,DifficultyLevel,中等,,,,,,,,,,,,,
abd2ed53d559cfd8,Recipe,蛋煎糍粑,早餐,简单,家常菜,,10分钟,,放糍粑进去时候注意把糍粑间隔开来，防止粘在一起。 | 鸡蛋的量根据糍粑的量而定。 | 糖的量根据个人喜好。,Dish/breakfast/蛋煎糍粑.md,,,,,
8aad803639825b03,Ingredient,糍粑,,,,,,,,,,,,,
7dc733e0655cdcfe,Ingredient,红糖,,,,,,,,,,,,,
809cd62c6159126d,Ingredient,食用盐,,,,,,,,,,,,,
679c6e7f2b27db3b,CookingStep,蛋煎糍粑-步骤1,,,,,,,,,把糍粑切成长方形小块，便于后面煎。,1,,刀,
1d6391098f058ee8,CookingStep,蛋煎糍粑-步骤2,,,,,,,,,碗里打入一个鸡蛋并把鸡蛋搅碎，加入 2g 食用盐。,2,,碗,
a20cf7a1211663a7,CookingStep,蛋煎糍粑-步骤3,,,,,,,,,将切好的小糍粑依此放入搅碎的鸡蛋里面，涂抹完糍粑双面为止。,3,,,
5239925175359b12,CookingStep,蛋煎糍粑-步骤4,,,,,,,,,锅里倒入植物油 10ml ，把涂抹好的糍粑小块放进去小火慢慢煎软。,4,煎,锅,
487d84ee0d1005ca,CookingStep,蛋煎糍粑-步骤5,,,,,,,,,将剩下的鸡蛋液慢慢倒在糍粑表面。,5,,,
f4cebd139bbf714d,CookingStep,蛋煎糍粑-步骤6,,,,,,,,,用筷子或者勺子为糍粑翻面，来回煎至金黄色后开吃。,6,煎,"筷子,勺子",
ff67e774d1594ea5,Recipe,鸡蛋三明治,早餐,简单,西式,,,,也可加入芝士、酸黄瓜等食材,Dish/breakfast/鸡蛋三明治.md,,,,,
faa444361935213f,Ingredient,吐司,,,,,,,,,,,,,
f7db4278b3f65a17,Ingredient,培根,,,,,,,,,,,,,
756bed3f74e2e3fb,Ingredient,黄油,,,,,,,,,,,,,
dac00a05c13df257,Ingredient,蛋黄酱,,,,,,,,,,,,,
51c3b439776e8d2a,Ingredient,黑胡椒,,,,,,,,,,,,,
0c3a2907a94934e0,CookingStep,鸡蛋三明治-步骤1,,,,,,,,,吐司切去四边，备用,1,,,
db190c0ce1f96ee4,CookingStep,鸡蛋三明治-步骤2,,,,,,,,,鸡蛋煮熟，捣碎,2,煮,,
b88048af8cb082df,CookingStep,鸡蛋三明治-步骤3,,,,,,,,,混合鸡蛋、蛋黄酱、盐、黑胡椒,3,,,
d5d51a040c9b3079,CookingStep,鸡蛋三明治-步骤4,,,,,,,,,锅中加入黄油，煎熟培根,4,煎,锅,
653c54f5382c2db6,CookingStep,鸡蛋三明治-步骤5,,,,,,,,,组装吐司，在两片吐司间加入制作好的鸡蛋酱及培根,5,,,
042038579f180e23,CookingStep,鸡蛋三明治-步骤6,,,,,,,,,四边形吐司切成三角形装盘,6,,,
e117c8f8515e3d7f,Recipe,可乐鸡翅,荤菜,中等,家常菜,,,1盘,加入生姜爆香的同时能防止鸡翅粘锅。 | 最后收汁时勿开过大火，防止味道偏苦。 | 本菜品偏甜。,Dish/dinner and lunch/meat/可乐鸡翅.md,,,,,
60d67fa926316157,Ingredient,鸡翅中,,,,,,,,,,,,,
7aa5a210bfa731dd,Ingredient,可乐,,,,,,,,,,,,,
3de857b59530ec6e,Ingredient,白糖,,,,,,,,,,,,,
a6673eb5674c760f,Ingredient,生姜,,,,,,,,,,,,,
f00e325df91687b0,Ingredient,料酒,,,,,,,,,,,,,
fd3a4723e62d2b32,Ingredient,小葱,,,,,,,,,,,,,
0b83459963f98b6b,CookingStep,可乐鸡翅-步骤1,,,,,,,,,鸡翅入锅，倒入冷水淹没。放生姜1片和料酒10～20毫升。大火煮开（大约2分钟）后，撇去浮沫，沥出水分。这一步针对冰鲜鸡翅，刚买来的鸡翅直接改刀用生抽进行腌制即可。,1,焯水,锅,约2分钟
bbf29dd27666fcd1,CookingStep,可乐鸡翅-步骤2,,,,,,,,,捞出鸡翅，可用刀将两边各划上两口改刀。生抽约10克腌制鸡翅10分钟（生抽能完全包裹鸡翅表面入味就行）。,2,腌制,刀,10分钟
60d6e7c4e2fa2151,CookingStep,可乐鸡翅-步骤3,,,,,,,,,锅重新小火起油，先将剩余姜片爆香，然后下入腌好的鸡翅。将鸡翅煎至金黄翻面（直到两面金黄），用炒菜勺子翻动一下鸡翅，与姜片一起翻炒4～5下（目的是防止鸡翅和姜片粘黏）。,3,"爆香,煎,炒","锅,炒菜勺",
012011c104117849,CookingStep,可乐鸡翅-步骤4,,,,,,,,,鸡翅金黄，倒入可乐没过鸡翅，开大火将锅中可乐煮沸，然后撇去漂浮的黑色浮沫（包含血水）。此时加入葱结。,4,煮,锅,
760b3df138fc2392,CookingStep,可乐鸡翅-步骤5,,,,,,,,,调味：加入食用盐2克，白糖10克，生抽3克调味（可以适当用老抽调底色，3克）。,5,,,
72bc9f0d6cf8a2b6,CookingStep,可乐鸡翅-步骤6,,,,,,,,,等到葱结变黄，和姜片一起捞出，转中火继续慢煮可乐鸡翅。,6,煮,锅,
e68c707064a1013f,CookingStep,可乐鸡翅-步骤7,,,,,,,,,等到可乐呈现挂丝状态，关小火让汁牢牢挂在鸡翅上。出锅，装盘。,7,收汁,锅,
fbaa4e39ca8903bf,RecipeCategory,荤菜,,,,,,,,,,,,,
752118f8c9c8d947,Recipe,咕噜肉,荤菜,困难,粤菜,,,,想让肉更有层次可以在生粉中加鸡蛋，炸出来会更香脆,Dish/dinner and lunch/meat/咕噜肉.md,,,,,
36f1a0531eb2fe9e,Ingredient,梅头猪肉,,,,,,,,,,,,,
987d92b730064b5a,Ingredient,青椒,,,,,,,,,,,,,
fd57a22c1641a4d5,Ingredient,罐头菠萝片,,,,,,,,,,,,,
815bbdfc045a50cc,Ingredient,茄汁,,,,,,,,,,,,,
764be16565acfe60,Ingredient,白醋,,,,,,,,,,,,,
0fb4f52f54af8074,Ingredient,蒜蓉,,,,,,,,,,,,,
83b24b4d778a2ccd,Ingredient,生粉,,,,,,,,,,,,,
a770b9a81db4bbec,Ingredient,白砂糖,,,,,,,,,,,,,
75789e58d099a674,Ingredient,油,,,,,,,,,,,,,
e82e6073646e1dc3,CookingStep,咕噜肉-步骤1,,,,,,,,,将梅头猪肉（100克）洗净，然后用厨房纸抹干水份，将猪肉切成比想要的成品小一圈的大小。,1,,厨房纸,
2f0845532e0b0777,CookingStep,咕噜肉-步骤2,,,,,,,,,用盐（1/2茶匙）腌制梅头猪肉20分钟。,2,腌制,,20分钟
a46e60dd16ccfc1c,CookingStep,咕噜肉-步骤3,,,,,,,,,将青椒（25克）切碎。,3,,,
dac81e3179304769,CookingStep,咕噜肉-步骤4,,,,,,,,,将菠萝片（75克）切件。,4,,,
883392ec7a4ef941,CookingStep,咕噜肉-步骤5,,,,,,,,,在碗中加入茄汁（4汤匙）、白醋（2茶匙）、蒜蓉（1汤匙）、生抽（½茶匙）、生粉（2½茶匙）、白砂糖（2汤匙）、盐（¼茶匙）和水（200毫升），拌匀成酱汁。,5,,碗,
0c339bdefb478f4f,CookingStep,咕噜肉-步骤6,,,,,,,,,将梅头猪肉粒沾上生粉（6汤匙）。,6,,,
20cc2b001f759ae2,CookingStep,咕噜肉-步骤7,,,,,,,,,加入油（500毫升）中火加热。,7,加热,锅,
4ef86bf834d01240,CookingStep,咕噜肉-步骤8,,,,,,,,,将梅头猪肉粒放至锅里中火炸5分钟，然后盛起。,8,炸,锅,5分钟
1ac0b8da3d83f9ce,CookingStep,咕噜肉-步骤9,,,,,,,,,加入梅头猪肉粒，再大火翻炸1分钟。,9,炸,锅,1分钟
3267734399f3ac24,CookingStep,咕噜肉-步骤10,,,,,,,,,加入油（1茶匙）和酱汁，中火加热3分钟。,10,加热,锅,3分钟
8c1bb8a56b2a7ce1,CookingStep,咕噜肉-步骤11,,,,,,,,,加入青椒和菠萝，大火加热2分钟。,11,加热,锅,2分钟
f70964f8e9b4073d,CookingStep,咕噜肉-步骤12,,,,,,,,,将已炸好的梅头猪肉粒与酱汁拌匀即可。,12,拌匀,,
8ffff47d4d8a1bba,DifficultyLevel,困难,,,,,,,,,,,,,
1a45cafc6e7d6e8c,Recipe,咖喱炒蟹,荤菜,困难,家常菜,,,1人份,螃蟹切口和蟹钳蘸生粉，蟹盖撒生粉盖住蟹黄，有助于锁住鲜味和蟹黄。 | 煎螃蟹时先切口朝下，可以封住蟹肉和蟹黄。 | 关火后倒入椰浆和蛋清并不断翻炒，可以使酱汁更浓稠。,Dish/dinner and lunch/meat/咖喱炒蟹.md,,,,,
a93f1f104dad9803,Ingredient,肉蟹,,,,,,,,,,,,,
c8788dbf0cb55e4c,Ingredient,咖喱块,,,,,,,,,,,,,
f1946ff1846e5f20,Ingredient,椰浆,,,,,,,,,,,,,
6ba3d74551e5a654,Ingredient,洋葱,,,,,,,,,,,,,
f7e2bea0db01f3ce,Ingredient,大蒜,,,,,,,,,,,,,
2ccc440d6a3a498f,CookingStep,咖喱炒蟹-步骤1,,,,,,,,,肉蟹掀盖后对半砍开，蟹钳用刀背轻轻拍裂，切口和蟹钳蘸一下生粉。撒5g生粉到蟹盖中，盖住蟹黄，备用。,1,,刀,
0a2dc31a905c2a80,CookingStep,咖喱炒蟹-步骤2,,,,,,,,,洋葱切成洋葱碎，备用。大蒜切碎，备用。烧一壶开水，备用。,2,切,刀,
868040b1bd0c24e1,CookingStep,咖喱炒蟹-步骤3,,,,,,,,,起锅烧油，倒入约20ml食用油，等待10秒让油温升高。,3,,锅,10秒
2002170a60b29271,CookingStep,咖喱炒蟹-步骤4,,,,,,,,,将螃蟹切口朝下，轻轻放入锅中，煎20秒封住蟹黄、蟹肉。然后翻面，每面煎10秒。煎完将螃蟹取出备用。,4,煎,锅,40秒
4ffc82ae3e26286d,CookingStep,咖喱炒蟹-步骤5,,,,,,,,,将螃蟹盖放入锅中，用勺子舀起锅中热油泼到蟹盖中，煎封住蟹盖中的蟹黄，煎20秒后取出备用。,5,煎,"锅,勺子",20秒
0282af5b488ea6b4,CookingStep,咖喱炒蟹-步骤6,,,,,,,,,不用刷锅，再倒入10ml食用油，大火让油温升高至轻微冒烟，将大蒜末、洋葱碎倒入，炒10秒钟。,6,炒,锅,10秒
f7a3077ebe079f0e,CookingStep,咖喱炒蟹-步骤7,,,,,,,,,将咖喱块放入锅中炒化（10秒），放入煎好的螃蟹，翻炒均匀。,7,炒,锅,10秒
33e98ead092c44f1,CookingStep,咖喱炒蟹-步骤8,,,,,,,,,倒入开水300ml，焖煮3分钟。,8,焖煮,锅,3分钟
aa6e1ad6f3834504,CookingStep,咖喱炒蟹-步骤9,,,,,,,,,焖煮完后，倒入椰浆和蛋清，关火，关火后不断翻炒，一直到酱汁变浓稠。出锅。,9,炒,锅,
9cfd60e27d37b519,Recipe,响油鳝丝,荤菜,中等,江浙菜,,,2人份,不能将鳝鱼的血洗得太干净，否则鳝鱼很容易发黑发臭。 | 可以多加一些胡椒粉和白糖，有利于去腥增香。,Dish/dinner and lunch/meat/响油鳝丝.md,,,,,
3c88d3d4302255d7,Ingredient,鳝丝,,,,,,,,,,,,,
d5b541bd5905d59c,Ingredient,姜末,,,,,,,,,,,,,
99600898266742b1,Ingredient,蚝油,,,,,,,,,,,,,
02e1eabcea426568,Ingredient,胡椒粉,,,,,,,,,,,,,
2cdc8e1f9aefc7b2,Ingredient,淀粉,,,,,,,,,,,,,
8e92a1c42d49f602,Ingredient,蒜末,,,,,,,,,,,,,
515af458e3378ae9,Ingredient,猪油,,,,,,,,,,,,,
272b6c85e8f92fee,CookingStep,响油鳝丝-步骤1,,,,,,,,,将鳝鱼切成三段后切成细丝。加入0.5克胡椒粉、3克料酒搅拌均匀，再加入5克香油腌制。,1,切，腌制,刀,
076d007fd5381a3e,CookingStep,响油鳝丝-步骤2,,,,,,,,,热油滑锅。加入植物油，烧到6成热。加入一半蒜末和全部姜末，翻炒几下。,2,滑锅，炒,炒锅,
5b5ad8adbe1ad341,CookingStep,响油鳝丝-步骤3,,,,,,,,,加入鳝丝，中火爆炒30秒。边缘淋入10克料酒，翻炒几下。,3,爆炒,炒锅,30秒
40296e4a9696ff7d,CookingStep,响油鳝丝-步骤4,,,,,,,,,加入生抽，炒匀。加入蚝油、老抽，翻炒几下。加入食用盐、白糖、3克胡椒粉，炒匀。,4,炒,炒锅,
c977d956d17b4a5c,CookingStep,响油鳝丝-步骤5,,,,,,,,,淀粉和水混合为水淀粉，倒入锅中，收汁至浓稠。,5,收汁,炒锅,
6c69957bb9cf5356,CookingStep,响油鳝丝-步骤6,,,,,,,,,装盘，撒上蒜蓉、葱花。,6,,,
64a7085c469a82be,CookingStep,响油鳝丝-步骤7,,,,,,,,,另起锅烧热，加入猪油，烧至七成热，浇在鳝丝上。,7,烧热,锅,
4ad03a810d7ef263,Recipe,小龙虾,荤菜,困难,家常菜,,,,家庭制作可用比炒菜多些的油煎代替油炸，同样好吃。 | 去虾线会影响虾肉口感且对新手有难度，能接受虾线可不去。,Dish/dinner and lunch/meat/小龙虾.md,,,,,
98fa598a57ea7667,Ingredient,小龙虾,,,,,,,,,,,,,
7de9e044b4e73ebe,Ingredient,青花椒,,,,,,,,,,,,,
0e9595ab8f5e7160,Ingredient,花椒,,,,,,,,,,,,,
ac47ee0805eb68f5,Ingredient,子弹头辣椒,,,,,,,,,,,,,
1e2a144c462b1349,Ingredient,葱,,,,,,,,,,,,,
be1a7c309fe2740b,Ingredient,姜,,,,,,,,,,,,,
02388f585485c7d2,Ingredient,蒜,,,,,,,,,,,,,
8e5301c11e21470d,Ingredient,郫县豆瓣,,,,,,,,,,,,,
317688e67f3f7239,Ingredient,黄豆酱,,,,,,,,,,,,,
099a659fddf8199d,Ingredient,啤酒,,,,,,,,,,,,,
2f318307e2114361,CookingStep,小龙虾-步骤1,,,,,,,,,小龙虾刷干净去虾线，葱切2cm葱段，姜蒜切末。,1,,,
01873a4542602205,CookingStep,小龙虾-步骤2,,,,,,,,,烧油，油微热，下香叶、八角、桂皮、青花椒、花椒、子弹头辣椒。,2,炒,锅,
a077e4f4f029d17d,CookingStep,小龙虾-步骤3,,,,,,,,,香料出香气之后下锅葱姜蒜。,3,炒,锅,
0ab55ecdb067a897,CookingStep,小龙虾-步骤4,,,,,,,,,葱姜蒜爆香后，加入郫县豆瓣、黄豆酱，炒出红油。,4,炒,锅,
d73259f339ad961a,CookingStep,小龙虾-步骤5,,,,,,,,,下小龙虾，翻炒至变色。,5,炒,锅,
563e113c6a350c73,CookingStep,小龙虾-步骤6,,,,,,,,,加入啤酒，等啤酒烧开后加入生抽，盐。,6,煮,锅,
4985cb8bd1c96492,CookingStep,小龙虾-步骤7,,,,,,,,,将小龙虾完全煮熟后出锅。,7,煮,锅,
10fc84e21e0a20e9,Recipe,微波葱姜黑鳕鱼,荤菜,中等,家常菜,,,2份,本菜谱主角是黑鳕鱼，所有调料可根据鳕鱼的实际重量进行比例调整。 | 如果想让香气更为浓郁，在微波前可将葱姜与料酒均匀涂抹在鱼片的两侧，再进行微波加热。 | 可使用海鲈鱼、罗非鱼、大比目鱼或龙脷鱼替代，具体重量和微波时间请参考菜谱中的附加表格。,Dish/dinner and lunch/meat/微波葱姜黑鳕鱼.md,,,,,
1533c7aacced175e,Ingredient,黑鳕鱼,,,,,,,,,,,,,
9d24a20c32e1507f,Ingredient,青葱,,,,,,,,,,,,,
121157f3cd06abbf,Ingredient,酱油,,,,,,,,,,,,,
573f9d0e5f250c01,Ingredient,芝麻油,,,,,,,,,,,,,
6156b3d900bb2bf6,Ingredient,花生油,,,,,,,,,,,,,
f8a7f118307f7f23,CookingStep,微波葱姜黑鳕鱼-步骤1,,,,,,,,,鱼片分别放入密封袋，鱼皮向下放在盘子中。,1,,"密封袋,盘子",
37191c5edc71129c,CookingStep,微波葱姜黑鳕鱼-步骤2,,,,,,,,,取葱白切丝25g，姜去皮后切丝10g，混合在一起后分成两半，分别放在袋内鱼片上。,2,切,刀,
6f94052d1ae544d8,CookingStep,微波葱姜黑鳕鱼-步骤3,,,,,,,,,每个袋子倒入2.5mL料酒。,3,,,
6dda2a29b685f02d,CookingStep,微波葱姜黑鳕鱼-步骤4,,,,,,,,,封好密封袋，放入微波炉中，中火（800瓦）微波至不透明且容易散开时（约3.5-5分钟），从袋中取出鱼片。,4,微波,"微波炉,密封袋",3.5-5分钟
d7a1c16629cc7e17,CookingStep,微波葱姜黑鳕鱼-步骤5,,,,,,,,,去除青葱和姜。,5,,,
835c420843bf75a9,CookingStep,微波葱姜黑鳕鱼-步骤6,,,,,,,,,取酱油25mL，芝麻油2mL，混合均匀后平均淋在两片鱼片上。,6,,,
e6f26f6000e1e84b,CookingStep,微波葱姜黑鳕鱼-步骤7,,,,,,,,,取葱绿切细丝10g，姜去皮后切丝3g，混合后分成两份撒在鱼片上。,7,切,刀,
e88855e7fe1f433c,CookingStep,微波葱姜黑鳕鱼-步骤8,,,,,,,,,取花生油50mL，在小锅中加热至190℃。,8,加热,小锅,
a386e4056b8a3ffe,CookingStep,微波葱姜黑鳕鱼-步骤9,,,,,,,,,将热油淋到放有葱绿的鱼片上，立刻上桌。,9,淋油,,
c9bfcbfa7fe2af5a,Recipe,油焖大虾,荤菜,困难,家常菜,,,1人份,炸好的葱油可以留着作为拌面使用。 | 焖煮中途不能再加汤水，不要开盖。,Dish/dinner and lunch/meat/油焖大虾.md,,,,,
0a41059e494c021d,Ingredient,虾,,,,,,,,,,,,,
36f58a72875817bf,Ingredient,黄酒,,,,,,,,,,,,,
8f608eefc85f1a23,Ingredient,植物油,,,,,,,,,,,,,
69248c4d688f8689,CookingStep,油焖大虾-步骤1,,,,,,,,,剪虾枪到根上，虾须虾爪都剪掉，沙包挑掉，开背虾线挑出来，洗净备用。,1,,剪刀,
6c8faa255bde3138,CookingStep,油焖大虾-步骤2,,,,,,,,,炸料油：油温三成热放花椒，油热离火，放葱姜（不要让油变色最好）葱稍微变黄沥油。,2,炸,锅,
473d72a4374b1aa9,CookingStep,油焖大虾-步骤3,,,,,,,,,下油，虾摆放整齐，两面变色后轻轻摁虾头。,3,煎,锅,
d4c7b77b0358d447,CookingStep,油焖大虾-步骤4,,,,,,,,,放姜米（姜切成细颗粒）、黄酒30g、水两小碗、盐3g、冰糖10克。,4,,,
b9daf6182518535b,CookingStep,油焖大虾-步骤5,,,,,,,,,大火烧开转小火盖盖子闷（中途不能再加汤水，不要开盖）。,5,焖,锅,
25813d09a8386e90,CookingStep,油焖大虾-步骤6,,,,,,,,,皮亮虾弯就可以起锅，虾摆盘。,6,,,
dc2be80c003ea858,CookingStep,油焖大虾-步骤7,,,,,,,,,收汁（过滤后倒回锅里收浓，放葱油）汤汁剩余1/4时。,7,收汁,锅,
0813aecd92148f1d,CookingStep,油焖大虾-步骤8,,,,,,,,,浇汁，完成。,8,,,
e8198a4a3b8d77b3,Recipe,清蒸生蚝,荤菜,中等,家常菜,,,,,Dish/dinner and lunch/meat/清蒸生蚝.md,,,,,
3776293a5c06853b,Ingredient,生蚝,,,,,,,,,,,,,
8a2f5b2f09ba3a2c,Ingredient,饮用水,,,,,,,,,,,,,
e664650c297ff743,CookingStep,清蒸生蚝-步骤1,,,,,,,,,将生蚝用刷子刷干净（没有刷子用牙刷）。,1,,刷子,
7b8b5dba70d9046b,CookingStep,清蒸生蚝-步骤2,,,,,,,,,蒸锅中放水，将蒸屉放上之后，将6个生蚝平铺在蒸屉，使用50%功率，蒸3分钟。,2,蒸,蒸锅，蒸屉,3分钟
